time,SLOVENIJA,Vzhodna Slovenija,Pomurska,Podravska,Koro?ka,Savinjska,Zasavska,Posavska,Jugovzhodna Slovenija,Primorsko-notranjska,Zahodna Slovenija,Osrednjeslovenska,Gorenjska,Gori?ka,Obalno-kra?ka
2005,735.73,685.53,640.31,695.22,665.4,684.58,703.47,679.82,712.61,665.52,778.83,808.72,721.09,733.06,732.42
2006,773.42,719.45,669.38,731.11,695.18,717.99,734.61,715.99,748.07,698.99,819.57,849.15,759.22,776.4,772.86
2007,834.5,772.93,715.42,786.19,746.73,767.59,787.07,781.59,806.86,751.01,887.37,921.17,816.8,840.63,833.24
2008,899.8,832.83,775.07,841.63,808.57,825.55,857.76,843.79,876.04,808.45,957.47,996.81,880.64,887.49,901.03
2009,930,860.16,826.02,871.22,834.68,844.84,884.88,870.75,902.26,823.16,988.9,1031.42,899.98,907.13,935.38
2010,966.62,901.61,873.88,904.55,884.74,892.8,915.48,903.7,950.02,852.5,1020.89,1060.59,940.13,950.96,961.04
2011,987.39,922.55,883.09,917.78,913.57,916.61,940.82,929.8,980.34,887.86,1041.39,1081.86,960.77,967.1,978.75
2012,991.44,926.58,891.27,920.83,920.62,920.72,922.41,936.7,989.55,885.11,1044.85,1082.59,974.54,963.61,980.18
2013,997.01,932.98,897.19,924.01,931.96,927.71,934.58,938.05,999.64,895.93,1049.32,1083.75,992.31,969.71,979.33
2014,1005.41,943.67,911.81,929.01,943,940.51,931.88,948.6,1018.77,906.93,1055.38,1088.02,1000.93,979.7,988
2015,1013.23,950.73,922.87,938.53,956.86,945.25,914.36,955.44,1022.58,918.08,1065.09,1099.23,1010.83,984.59,998.39
2016,1030.16,965.56,939.81,955.44,980.68,954.44,932.6,975.68,1035.66,924.82,1083.17,1118.06,1024.92,1006.55,1014.77
2017,1062,995.32,969.78,986.49,1012.97,983.33,964.2,1008.55,1058.95,954.62,1116.66,1152.68,1060.03,1036.65,1042.88
2018,1092.74,1025.91,1004.11,1014.64,1043.88,1013.49,993.67,1036.63,1094.95,980.28,1147.05,1184.59,1091.38,1061.28,1064.94